City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Hermanus,ZA,-34.4187,19.2345,55.99,84,34,3.0,scattered clouds
143,Kenai,US,60.5544,-151.2583,34.0,34,1,13.8,clear sky
144,Wakkanai,JP,45.4094,141.6739,44.6,49,0,10.36,clear sky
145,Vicuna,CL,-30.0319,-70.7081,59.0,88,75,8.05,broken clouds
146,Charlestown,AU,-32.95,151.6667,78.01,58,0,4.0,clear sky
147,Lebu,CL,-37.6167,-73.65,56.14,86,0,18.86,clear sky
148,Tiksi,RU,71.6872,128.8694,7.65,94,99,2.77,overcast clouds
149,Evensk,RU,61.95,159.2333,9.7,70,43,4.88,scattered clouds
150,Katwijk,NL,52.1942,4.4222,46.0,85,100,8.99,overcast clouds
151,Porto Novo,BJ,6.4965,2.6036,84.2,79,40,12.66,scattered clouds
152,Hofn,IS,64.2539,-15.2082,30.87,93,100,15.3,snow
153,Dzitas,MX,20.85,-88.5167,80.46,58,25,9.31,scattered clouds
154,Mendi,PG,-6.1761,143.6513,71.69,60,77,4.03,broken clouds
155,Waipawa,NZ,-41.4122,175.5153,69.8,64,90,19.57,overcast clouds
156,Komsomolskiy,UZ,40.4272,71.7189,53.6,87,75,2.3,mist
157,Dikson,RU,73.5069,80.5464,-20.67,100,100,8.97,overcast clouds
158,Orsha,BY,54.5153,30.4053,34.63,92,95,8.05,overcast clouds
159,Provideniya,RU,64.3833,-173.3,4.21,90,100,5.5,overcast clouds
160,Harper,LR,4.375,-7.7169,77.59,86,42,3.71,light rain
161,Husavik,IS,66.0449,-17.3389,21.2,86,90,10.36,snow
162,Puerto Ayora,EC,-0.7393,-90.3518,79.0,89,99,4.0,overcast clouds
163,Pitimbu,BR,-7.4706,-34.8086,78.8,94,75,2.3,light rain
164,Upernavik,GL,72.7868,-56.1549,-29.51,94,82,5.1,broken clouds
165,Vestmannaeyjar,IS,63.4427,-20.2734,37.87,60,100,23.42,overcast clouds
166,Constitucion,CL,-35.3333,-72.4167,59.54,66,99,12.21,overcast clouds
167,Omboue,GA,-1.5746,9.2618,78.44,86,78,5.5,broken clouds
168,Vila Franca Do Campo,PT,37.7167,-25.4333,53.6,82,40,3.44,scattered clouds
169,Matay,EG,28.419,30.7792,52.05,61,0,15.5,clear sky
170,Longyearbyen,SJ,78.2186,15.6401,28.4,74,75,29.93,snow
171,Nichinan,JP,31.6,131.3667,62.6,100,75,11.5,mist
172,Ewo,CG,-0.8725,14.8206,74.57,77,100,2.13,overcast clouds
173,Bato,PH,13.3528,123.3677,84.45,68,99,2.3,overcast clouds
