City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Hasaki,JP,66.2,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
84,Barstow,US,73.4,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
87,Saint-Philippe,RE,75.2,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
91,Mbalmayo,CM,69.21,overcast clouds,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
93,Busselton,AU,68.38,light rain,-33.65,115.3333,Observatory Guest House
99,Codrington,AU,65.34,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
104,Ballina,AU,78.8,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
105,Ahipara,NZ,67.66,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
106,Cidreira,BR,72.54,overcast clouds,-30.1811,-50.2056,Hotel Castelo
111,Guerrero Negro,MX,66.47,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
112,Pisco,PE,69.8,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
117,Sao Filipe,CV,69.64,clear sky,14.8961,-24.4956,Tortuga B&B
119,Nhulunbuy,AU,78.8,light rain,-12.2333,136.7667,East Arnhem Real Estate
121,Taoudenni,ML,77.2,scattered clouds,22.6783,-3.9836,
126,Clarence Town,AU,75.99,clear sky,-32.5833,151.7833,River Downs Cottage
146,Charlestown,AU,78.01,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
154,Mendi,PG,71.69,broken clouds,-6.1761,143.6513,Kiburu Lodge
155,Waipawa,NZ,69.8,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
160,Harper,LR,77.59,light rain,4.375,-7.7169,Screensaver
162,Puerto Ayora,EC,79.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
163,Pitimbu,BR,78.8,light rain,-7.4706,-34.8086,Reserva do Abiaí
167,Omboue,GA,78.44,broken clouds,-1.5746,9.2618,Hotel Olako
172,Ewo,CG,74.57,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
176,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
177,Reitoca,HN,78.8,few clouds,13.8258,-87.4653,Hotel Silis
179,Trairi,BR,74.64,broken clouds,-3.2778,-39.2689,janelas do mar
181,Sambava,MG,74.57,overcast clouds,-14.2667,50.1667,Melrose
186,Meulaboh,ID,76.87,overcast clouds,4.1363,96.1285,Kost Pria
187,San Jose,US,75.99,clear sky,37.3394,-121.895,The Westin San Jose
189,Sao Joao Da Barra,BR,77.07,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
191,Tuy Hoa,VN,79.03,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
197,Atambua,ID,79.97,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
203,Lazaro Cardenas,MX,75.45,clear sky,17.9583,-102.2,Hotel Quinta Antigua
208,Los Llanos De Aridane,ES,66.2,clear sky,28.6585,-17.9182,Valle Aridane
211,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
216,Mocuba,MZ,71.92,light rain,-16.8392,36.9856,Phama Lodge
218,Hualmay,PE,70.23,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
224,Mlimba,TZ,71.8,overcast clouds,-8.8,35.8167,California Lodge
228,Nizwa,OM,75.13,scattered clouds,22.9333,57.5333,Orient Apartments
229,Victoria,HK,75.0,clear sky,22.2855,114.1577,Mini Hotel Central
233,Caravelas,BR,75.09,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
241,Quatre Cocos,MU,77.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
243,Maksi,IN,76.12,clear sky,23.2667,76.15,Sunyana Hotel
244,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
245,Sao Bernardo,BR,73.35,light rain,-3.3614,-42.4178,Hotel Prado
246,Loanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
248,Chuy,UY,67.82,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
249,Arica,CL,68.0,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
253,Panaba,MX,79.88,scattered clouds,21.2833,-88.2667,Posada rosario
